product_id,category_id,product_name,description,price,stock_quantity,created_at
1,12,셔츠 MediumSpringGreen 슬림핏,진보적인 글로벌 벤치마크,48200.0,53,2025-07-29 17:40:42
2,21,청바지 Plum 베이직,올바른 사이즈의 글로벌 유연성,132400.0,58,2025-02-19 23:43:09
3,31,자켓 OliveDrab 베이직,객체 기반의 휴대형 표준,166100.0,1,2025-06-30 01:54:18
4,13,니트 ForestGreen 오버핏,독보적인 3세대 공개 시스템,185600.0,61,2025-02-10 18:26:16
5,22,슬랙스 LightSteelBlue 슬림핏,총 물류 엔진,45600.0,63,2025-01-08 06:50:48
6,41,스니커즈 MediumVioletRed 베이직,유저 친화적 다중 상태 데이터베이스,92900.0,38,2025-06-02 16:19:57
7,21,청바지 LawnGreen 슬림핏,조직화된 실행 프레임워크,123800.0,13,2025-03-25 07:56:30
8,21,청바지 LightSlateGray 오버핏,선택적 선구적 솔루션,158400.0,13,2025-02-10 08:18:02
9,11,티셔츠 SpringGreen 베이직,비전 있는 고단계 전략,179300.0,87,2025-05-22 21:22:51
10,31,자켓 MediumVioletRed 베이직,융합력있는 클라이언트 단 그래픽 인터페이스,62800.0,38,2025-04-27 00:40:30
11,21,청바지 CadetBlue 베이직,낮은 선구적 배열,59100.0,42,2025-05-28 00:46:45
12,31,자켓 Tomato 오버핏,오픈소스 방향 엑스트라넷,56800.0,50,2025-04-18 02:50:42
13,13,니트 LemonChiffon 오버핏,유저 친화적 휴대형 태도,127600.0,37,2025-06-21 15:23:30
14,11,티셔츠 Sienna 슬림핏,더 커진 결정 안내 창구,35900.0,24,2025-01-18 19:50:04
15,21,청바지 MidnightBlue 슬림핏,오픈소스 교훈적 어댑터,110500.0,67,2025-06-21 05:24:47
16,31,자켓 DarkGoldenRod 슬림핏,단체 기반의 보조 어플리케이션,124200.0,18,2025-03-09 23:38:40
17,11,티셔츠 Cornsilk 베이직,미래가 보장된 휴리스틱 어플리케이션,160100.0,54,2025-03-05 13:55:49
18,21,청바지 Gray 슬림핏,완벽히 설정된 교훈적 그래픽 인터페이스,132600.0,77,2025-01-21 22:14:04
