user_id,category_id
1001,12
1001,1
1002,22
1002,12
1003,12
1003,22
1004,12
1004,1
1005,11
1005,21
1006,3
1006,12
1006,41
1007,13
1007,22
1007,12
1008,11
1008,3
1009,13
1010,13
1011,22
1011,1
1011,21
1012,5
1013,11
1013,22
1013,13
1014,5
1015,11
1016,22
1017,4
1017,11
1017,13
1018,12
1019,4
1019,22
1019,41
1020,41
1020,1
1020,21
1021,5
1022,12
1022,11
1022,31
1023,12
1023,13
1023,3
1024,13
1024,22
1024,2
1025,22
1025,1
1025,11
1026,12
1027,13
1027,12
1028,22
1028,5
1029,41
1029,13
1029,2
1030,41
1030,5
1030,31
1031,11
1031,41
1032,4
1032,3
1032,5
1033,21
1034,1
1035,4
1035,31
1035,11
1036,11
1036,21
1037,12
1037,41
1037,2
1038,2
1038,41
1038,5
1039,41
1040,12
1040,2
1040,1
1041,3
1041,12
1042,5
1043,13
1043,41
1043,11
1044,11
1044,1
1044,5
1045,11
1045,21
1046,31
1046,3
1047,41
1048,31
1048,21
1049,11
1050,21
1050,12
1051,11
1052,4
1052,13
1053,11
1053,2
1053,5
1054,41
1055,1
1055,12
1056,5
1057,12
1057,13
1057,22
1058,2
1059,3
1059,5
1059,1
1060,12
1061,13
1062,22
1062,31
1062,41
1063,12
1063,21
1063,5
1064,4
1065,2
1065,13
1065,1
1066,4
1066,21
1067,22
1067,5
1067,13
1068,41
1068,21
1068,5
1069,21
1070,2
1070,12
1071,4
1071,12
1072,3
1073,4
1074,31
1075,21
1075,5
1076,31
1076,11
1076,2
1077,4
1077,41
1077,12
1078,2
1078,21
1079,2
1080,11
1080,22
1080,1
1081,1
1081,21
1082,21
1082,1
1083,21
1083,12
1084,11
1084,21
1084,5
1085,11
1085,21
1085,41
1086,4
1086,5
1087,21
1087,4
1087,22
1088,4
1088,41
1088,5
1089,3
1089,31
1090,5
1091,13
1092,12
1092,13
1092,2
1093,3
1093,12
1093,22
1094,21
1095,31
1095,41
1096,22
1096,1
1097,31
1097,41
1098,21
1098,5
1098,4
1099,11
1099,1
1099,5
1100,3
1100,4
1101,13
1101,21
1102,1
1102,4
1102,3
1103,5
1104,4
1104,13
1105,2
1105,22
1106,2
1106,21
1107,3
1107,2
1108,22
1108,4
1108,2
1109,11
1109,3
1110,31
1110,12
1111,3
1112,31
1112,12
1113,2
1114,1
1114,5
1114,4
1115,4
1116,1
1116,2
1117,12
1118,22
1118,21
1119,1
1120,21
1120,31
1121,22
1121,4
1121,21
1122,41
1123,3
1124,2
1124,4
1124,5
1125,4
1125,2
1125,13
1126,12
1127,13
1127,21
1128,41
1129,1
1129,12
1130,12
1131,3
1131,21
1131,1
1132,2
1133,12
1133,2
1133,11
1134,41
1135,12
1135,3
1135,21
1136,4
1136,12
1136,1
1137,4
1138,22
1139,22
1139,1
1140,11
1140,4
1141,1
1141,13
1141,3
1142,3
1143,12
1143,22
1143,2
1144,13
1144,2
1145,13
1145,31
1146,2
1147,1
1147,31
1147,4
1148,5
1148,31
1148,3
1149,4
1149,21
1149,41
1150,1
1150,4
1150,21
1151,12
1152,31
1153,31
1154,3
1155,2
1155,12
1155,21
1156,5
1156,41
1156,31
1157,21
1158,5
1158,11
1159,1
1160,11
1160,5
1160,2
1161,21
1161,41
1162,1
1163,2
1164,5
1164,22
1165,1
1165,22
1165,12
1166,2
1166,4
1167,21
1168,22
1168,3
1168,31
1169,11
1170,2
1170,1
1170,4
1171,1
1172,22
1172,4
1172,1
1173,12
1173,31
1174,3
1175,21
1175,13
1176,1
1176,3
1176,22
1177,13
1178,11
1178,5
1179,13
1179,2
1179,4
1180,2
1180,12
1181,12
1181,13
1181,3
1182,12
1182,5
1182,1
1183,11
1184,3
1185,13
1186,41
1186,12
1187,12
1188,12
1188,2
1188,5
1189,12
1189,3
1190,31
1190,4
1191,21
1192,2
1192,41
1192,13
1193,12
1194,13
1194,12
1194,4
1195,1
1196,11
1196,5
1197,5
1197,13
1197,22
1198,13
1198,31
1199,4
1199,31
1199,11
1200,22
1200,12
1201,3
1201,22
1201,1
1202,4
1203,3
1203,4
1204,12
1204,31
1205,31
1206,12
1207,31
1207,13
1208,31
1208,2
1208,11
1209,5
1209,31
1209,22
1210,12
1210,1
1210,4
1211,41
1211,13
1212,2
1212,41
1213,31
1214,22
1214,1
1214,3
1215,22
1215,5
1216,22
1216,4
1217,4
1218,4
1218,11
1219,1
1220,41
1220,2
1221,41
1221,4
1222,31
1223,4
1224,1
1224,41
1225,5
1226,11
1227,2
1227,13
1227,11
1228,3
1228,21
1228,2
1229,2
1229,12
1230,4
1230,41
1231,3
1232,12
1233,31
1234,1
1235,4
1236,13
1236,22
1236,41
1237,2
1237,31
1238,21
1238,41
1238,4
1239,2
1239,3
1240,4
1240,21
1240,2
1241,11
1242,1
1243,22
1244,13
1245,13
1246,22
1246,5
1246,21
1247,13
1247,31
1247,5
1248,31
1248,11
1248,2
1249,3
1249,5
1249,21
1250,22
1251,2
1252,5
1253,13
1253,22
1254,2
1254,1
1254,5
1255,5
1255,21
1255,22
1256,5
1256,1
1257,4
1257,41
1258,11
1259,12
1259,11
1259,21
1260,2
1260,3
1261,11
1261,41
1261,5
1262,13
1263,2
1264,2
1264,21
1265,31
1266,22
1266,2
1267,41
1267,21
1268,12
1268,13
1269,21
1269,13
1269,3
1270,13
1270,31
1270,1
1271,3
1271,11
1272,41
1272,2
1272,21
1273,1
1273,13
1274,41
1275,13
1276,11
1276,1
1276,12
1277,5
1277,22
1278,22
1278,2
1279,4
1279,21
1279,3
1280,21
1280,5
1281,11
1281,21
1281,12
1282,13
1283,13
1283,5
1283,31
1284,2
1285,11
1285,2
1285,41
1286,1
1287,12
1287,3
1287,31
1288,21
1288,4
1288,5
1289,4
1290,21
1291,4
1291,11
1292,5
1293,13
1293,11
1293,2
1294,12
1294,31
1295,3
1296,31
1297,31
1298,41
1298,21
1299,31
1299,2
1300,21
1301,3
1301,12
1302,13
1303,4
1304,11
1304,2
1305,21
1306,2
1306,1
1307,3
1308,22
1308,11
1308,21
1309,41
1310,12
1311,21
1311,13
1311,5
1312,21
1312,41
1313,11
1313,3
1313,31
1314,5
1314,11
1314,4
1315,22
1315,2
1316,1
1317,13
1317,41
1317,3
1318,1
1318,41
1318,22
1319,13
1319,31
1320,31
1321,4
1322,12
1323,12
1323,5
1324,4
1324,22
1324,2
1325,13
1326,3
1326,2
1327,31
1328,12
1328,31
1329,12
1330,11
1330,41
1330,21
1331,21
1332,4
1332,41
1333,11
1334,12
1335,11
1335,12
1335,2
1336,31
1336,22
1337,5
1338,4
1338,3
1338,41
1339,11
1339,21
1340,11
1340,1
1340,31
1341,12
1341,21
1342,4
1343,21
1344,11
1344,4
1344,41
1345,41
1346,12
1346,3
1346,41
1347,13
1347,12
1347,1
1348,22
1349,3
1349,5
1350,41
1351,12
1352,12
1353,5
1353,12
1353,4
1354,5
1354,21
1354,11
1355,13
1355,21
1355,22
1356,4
1356,11
1357,3
1357,4
1358,4
1358,31
1359,21
1360,41
1360,3
1360,31
1361,21
1362,2
1362,21
1363,11
1363,22
1364,31
1364,21
1365,21
1365,11
1365,13
1366,3
1366,2
1366,4
1367,3
1368,11
1368,3
1369,41
1369,11
1370,1
1370,12
1371,41
1372,4
1372,13
1372,22
1373,11
1373,13
1374,13
1374,31
1375,22
1375,11
1376,22
1377,13
1377,3
1378,22
1378,5
1379,11
1380,21
1380,2
1380,3
1381,41
1382,5
1383,21
1384,5
1385,4
1386,1
1387,2
1387,1
1388,22
1389,22
1389,31
1389,2
1390,41
1391,11
1392,12
1392,3
1392,21
1393,3
1393,4
1394,41
1394,12
1394,4
1395,11
1395,22
1396,41
1397,31
1397,22
1398,12
1398,22
1398,41
1399,41
1399,21
1399,13
1400,12
1400,4
1401,3
1402,12
1402,21
1402,3
1403,4
1403,31
1404,2
1405,13
1406,5
1407,13
1408,41
1409,11
1410,2
1411,11
1412,12
1412,4
1412,5
1413,1
1414,41
1415,4
1415,21
1415,2
1416,2
1417,13
1417,31
1418,2
1419,31
1420,2
1421,1
1421,12
1421,5
1422,2
1422,3
1423,3
1423,21
1424,1
1424,11
1424,3
1425,41
1426,4
1426,22
1427,2
1428,1
1428,21
1429,11
1429,13
1430,4
1431,12
1431,3
1431,13
1432,22
1432,11
1433,5
1434,41
1434,4
1435,11
1436,4
1436,3
1436,1
1437,5
1437,2
1438,13
1438,31
1439,4
1440,13
1440,3
1440,2
1441,31
1441,22
1441,11
1442,21
1442,12
1443,5
1443,31
1443,3
1444,22
1445,11
1445,21
1445,41
1446,5
1446,3
1447,1
1447,13
1448,13
1448,11
1448,1
1449,4
1450,2
1450,11
1450,13
1451,12
1451,11
1451,13
1452,13
1453,5
1454,2
1454,11
1455,4
1455,5
1455,12
1456,12
1457,5
1458,1
1458,11
1458,13
1459,3
1460,2
1460,5
1460,21
1461,5
1461,2
1461,13
1462,12
1462,4
1463,2
1463,21
1464,31
1464,3
1465,4
1465,13
1465,22
1466,1
1466,2
1467,11
1467,31
1468,13
1468,22
1469,12
1470,13
1470,12
1470,31
1471,3
1471,12
1471,11
1472,11
1473,13
1473,2
1474,13
1474,41
1475,31
1475,4
1476,22
1477,3
1477,11
1477,5
1478,2
1478,22
1479,4
1479,1
1480,41
1481,13
1482,1
1483,41
1484,3
1485,41
1485,21
1486,2
1486,41
1487,12
1488,22
1489,3
1490,11
1491,41
1491,21
1491,5
1492,41
1492,22
1493,31
1494,13
1495,4
1495,2
1495,11
1496,11
1496,4
1497,5
1497,2
1498,22
1499,1
1499,31
1500,31
1500,5
1500,21
1501,11
1502,1
1502,5
1503,3
1504,11
1505,11
1505,5
1505,4
1506,4
1506,21
1507,11
1508,31
1508,41
1508,2
1509,31
1510,21
1510,5
1511,1
1511,12
1512,1
1512,41
1513,21
1513,41
1514,21
1514,13
1514,3
1515,12
1515,3
1516,2
1516,21
1516,3
1517,11
1517,21
1517,4
1518,1
1519,11
1520,21
1521,31
1522,5
1522,41
1523,12
1523,1
1523,11
1524,21
1524,22
1525,12
1526,11
1526,22
1526,21
1527,22
1528,5
1528,13
1529,22
1530,4
1530,1
1531,13
1532,41
1532,1
1532,3
1533,11
1533,4
1533,41
1534,5
1534,3
1535,1
1536,5
1537,3
1537,2
1537,11
1538,2
1538,21
1538,13
1539,4
1539,12
1539,3
1540,13
1541,22
1541,21
1541,4
1542,1
1543,41
1543,3
1543,21
1544,3
1544,1
1544,41
1545,31
1546,2
1547,13
1547,5
1547,3
1548,21
1548,2
1549,5
1549,11
1550,13
1550,5
1550,1
1551,22
1552,21
1552,2
1552,13
1553,13
1553,4
1553,5
1554,13
1554,12
1554,2
1555,31
1555,3
1555,1
1556,13
1557,41
1557,21
1558,41
1558,21
1559,11
1559,31
1560,13
1561,31
1561,2
1561,12
1562,41
1563,22
1563,5
1563,2
1564,21
1564,12
1564,1
1565,31
1565,11
1566,4
1566,3
1566,2
1567,4
1567,1
1567,11
1568,3
1568,4
1569,12
1569,31
1569,5
1570,21
1570,12
1570,13
1571,13
1571,41
1572,2
1572,12
1572,5
1573,5
1574,11
1575,22
1575,2
1576,1
1576,2
1576,12
1577,5
1577,41
1577,22
1578,1
1579,13
1579,1
1579,31
1580,5
1581,1
1581,31
1581,22
1582,21
1582,41
1583,31
1583,4
1584,2
1584,12
1584,31
1585,2
1585,22
1586,12
1587,11
1587,5
1587,12
1588,1
1588,5
1588,31
1589,4
1590,5
1590,3
1590,41
1591,41
1592,31
1592,2
1593,12
1593,41
1594,22
1594,21
1595,2
1595,12
1595,5
1596,31
1597,5
1598,31
1598,11
1599,3
1599,13
1600,3
1601,3
1601,1
1601,22
1602,2
1602,13
1603,22
1603,5
1603,2
1604,1
1604,4
1605,11
1606,11
1606,4
1607,22
1607,1
1607,4
1608,2
1609,13
1609,11
1609,4
1610,11
1610,2
1610,5
1611,3
1612,4
1613,1
1613,2
1614,1
1615,12
1615,1
1615,2
1616,3
1616,31
1617,1
1617,5
1617,11
1618,11
1619,1
1619,2
1619,31
1620,11
1621,21
1622,41
1622,5
1622,11
1623,11
1623,41
1624,3
1624,21
1625,22
1625,31
1626,12
1627,5
1627,3
1627,1
1628,3
1628,1
1629,5
1630,11
1630,4
1630,31
1631,21
1632,12
1632,11
1632,31
1633,11
1634,5
1634,21
1635,4
1635,1
1635,3
1636,21
1637,41
1637,4
1638,12
1638,41
1638,13
1639,3
1640,1
1641,1
1641,3
1641,31
1642,1
1642,41
1643,31
1644,13
1645,13
1645,21
1645,3
1646,11
1646,4
1646,1
1647,41
1647,3
1647,1
1648,41
1649,13
1649,11
1649,3
1650,5
1650,4
1651,5
1652,5
1652,3
1653,31
1653,1
1654,1
1655,13
1656,2
1656,41
1657,41
1657,2
1657,31
1658,3
1658,5
1658,21
1659,31
1659,11
1660,13
1660,31
1661,1
1662,5
1662,31
1663,13
1664,3
1664,11
1665,4
1665,31
1666,13
1666,3
1667,11
1668,4
1668,12
1669,2
1670,12
1670,5
1670,41
1671,4
1671,12
1671,3
1672,22
1673,41
1673,4
1674,4
1675,12
1675,13
1675,41
1676,4
1677,12
1677,31
1677,22
1678,41
1679,2
1679,21
1680,4
1681,22
1682,5
1683,13
1684,13
1684,1
1684,41
1685,31
1685,5
1686,31
1686,2
1687,1
1688,41
1689,2
1690,1
1690,3
1690,11
1691,21
1691,13
1692,31
1693,41
1693,11
1694,22
1694,13
1695,12
1696,13
1696,5
1696,2
1697,4
1698,3
1698,5
1699,1
1700,4
1700,3
1701,22
1701,21
1701,13
1702,12
1703,2
1704,12
1704,21
1705,11
1705,4
1706,1
1707,1
1708,22
1709,5
1709,22
1709,13
1710,41
1711,13
1711,31
1711,4
1712,13
1712,5
1713,1
1713,4
1713,12
1714,31
1715,21
1715,13
1716,21
1717,13
1717,2
1718,2
1719,11
1719,4
1720,21
1721,4
1721,22
1721,1
1722,4
1723,21
1724,21
1724,13
1725,31
1725,13
1726,5
1726,13
1726,12
1727,2
1727,12
1727,3
1728,12
1729,13
1730,22
1730,2
1730,1
1731,13
1731,21
1731,11
1732,3
1732,5
1733,12
1733,41
1734,2
