order_item_id,order_id,product_id,quantity,price_per_item
1,1,37,1,95600.0
2,1,32,3,173400.0
3,2,70,3,91500.0
4,2,75,2,122700.0
5,2,85,2,168000.0
6,3,44,2,72500.0
7,3,25,2,145800.0
8,4,43,2,46900.0
9,4,95,2,37200.0
10,4,58,1,176100.0
11,4,5,3,26700.0
12,5,92,1,51500.0
13,5,84,2,64300.0
14,5,84,3,64300.0
15,6,41,2,131000.0
16,6,21,2,150200.0
17,7,72,2,25400.0
18,7,77,2,77300.0
19,7,17,3,114500.0
20,7,76,3,138600.0
21,8,72,3,25400.0
22,8,55,3,61100.0
23,9,64,1,62700.0
24,10,41,3,131000.0
25,11,21,2,150200.0
26,11,64,3,62700.0
27,11,8,3,176600.0
28,12,59,2,127600.0
29,12,44,1,72500.0
30,13,8,2,176600.0
31,13,21,3,150200.0
32,14,19,1,69100.0
33,14,89,3,142600.0
34,15,93,3,173200.0
35,16,57,2,94900.0
36,16,13,3,161500.0
37,16,78,2,152900.0
38,17,50,2,29400.0
39,17,100,2,140500.0
40,17,8,1,176600.0
41,17,58,1,176100.0
42,18,85,1,168000.0
43,18,77,3,77300.0
44,18,37,2,95600.0
45,19,31,1,158800.0
46,20,13,1,161500.0
47,20,59,2,127600.0
48,20,88,1,148900.0
49,20,40,1,101700.0
50,21,32,3,173400.0
51,21,56,3,59700.0
52,22,94,3,125600.0
53,22,68,3,197600.0
54,22,20,2,137900.0
55,23,84,2,64300.0
56,23,21,1,150200.0
57,23,25,3,145800.0
58,24,56,3,59700.0
59,24,52,2,106600.0
60,25,100,1,140500.0
61,25,81,2,89900.0
62,25,37,2,95600.0
63,26,80,1,21000.0
64,27,94,3,125600.0
65,27,16,3,160300.0
66,27,48,3,43900.0
67,28,33,1,89100.0
68,28,100,1,140500.0
69,28,10,3,124500.0
70,28,39,1,175600.0
71,29,80,2,21000.0
72,29,49,2,140700.0
73,29,15,1,112300.0
74,29,45,1,106500.0
75,30,69,3,60400.0
76,31,26,3,178200.0
77,31,19,2,69100.0
78,31,57,2,94900.0
79,31,82,2,128600.0
80,32,74,3,139100.0
81,32,46,1,109800.0
82,32,24,2,48900.0
83,33,29,1,71000.0
84,33,94,3,125600.0
85,33,88,2,148900.0
86,33,83,1,106300.0
87,34,72,3,25400.0
88,34,85,1,168000.0
89,34,11,3,39900.0
90,34,8,3,176600.0
91,35,47,3,113200.0
92,36,86,3,88400.0
93,36,34,1,48600.0
94,36,42,1,48900.0
95,36,16,3,160300.0
96,37,83,1,106300.0
97,37,64,3,62700.0
98,37,5,1,26700.0
99,38,77,1,77300.0
100,38,61,1,62800.0
101,38,22,2,198500.0
102,39,25,3,145800.0
103,39,1,3,138600.0
104,39,67,1,160700.0
105,39,87,2,71300.0
106,40,29,2,71000.0
107,41,83,1,106300.0
108,41,17,2,114500.0
109,42,72,2,25400.0
110,43,13,3,161500.0
111,43,24,3,48900.0
112,43,81,2,89900.0
113,44,76,1,138600.0
114,45,2,1,29300.0
115,45,63,2,90400.0
116,45,48,3,43900.0
117,45,43,1,46900.0
118,46,6,3,115400.0
119,46,55,3,61100.0
120,46,14,1,153800.0
121,47,58,1,176100.0
122,47,49,3,140700.0
123,48,76,1,138600.0
124,49,66,3,65500.0
125,49,40,1,101700.0
126,49,26,3,178200.0
127,50,90,2,165100.0
128,50,59,2,127600.0
129,51,65,2,100800.0
130,51,52,2,106600.0
131,52,6,2,115400.0
132,52,51,2,161000.0
133,52,59,2,127600.0
134,53,9,1,21700.0
135,53,62,2,37500.0
136,54,65,3,100800.0
137,54,92,1,51500.0
138,54,19,2,69100.0
139,54,57,3,94900.0
140,55,38,1,93700.0
141,56,49,2,140700.0
142,56,42,1,48900.0
143,56,75,1,122700.0
144,56,99,1,92200.0
145,57,63,1,90400.0
146,57,63,1,90400.0
147,57,58,2,176100.0
148,58,29,2,71000.0
149,58,68,3,197600.0
150,59,74,1,139100.0
151,59,49,3,140700.0
152,59,40,3,101700.0
153,60,98,1,38700.0
154,61,69,3,60400.0
155,61,38,3,93700.0
156,61,100,3,140500.0
157,61,20,2,137900.0
158,62,95,1,37200.0
159,62,50,1,29400.0
160,62,39,3,175600.0
161,62,65,2,100800.0
162,63,91,1,134800.0
163,63,38,2,93700.0
164,64,58,2,176100.0
165,64,8,1,176600.0
166,65,73,3,53900.0
167,65,76,3,138600.0
168,65,32,1,173400.0
169,65,92,2,51500.0
170,66,10,1,124500.0
171,67,68,2,197600.0
172,68,33,3,89100.0
173,68,84,1,64300.0
174,69,45,2,106500.0
175,69,45,1,106500.0
176,69,48,1,43900.0
177,69,74,3,139100.0
178,70,92,3,51500.0
179,70,61,2,62800.0
180,71,55,1,61100.0
181,72,15,1,112300.0
182,72,91,3,134800.0
183,73,46,1,109800.0
184,73,72,2,25400.0
185,73,32,1,173400.0
186,73,67,1,160700.0
187,74,97,2,141700.0
188,74,59,1,127600.0
189,74,46,2,109800.0
190,74,26,1,178200.0
191,75,8,3,176600.0
192,76,65,1,100800.0
193,77,85,2,168000.0
194,77,73,2,53900.0
195,78,2,1,29300.0
196,78,29,1,71000.0
197,78,93,1,173200.0
198,79,19,2,69100.0
199,79,86,1,88400.0
200,79,54,3,52800.0
201,79,32,1,173400.0
202,80,74,2,139100.0
203,80,4,3,163200.0
204,80,39,1,175600.0
205,81,13,2,161500.0
206,82,96,2,90400.0
207,83,66,1,65500.0
208,83,75,1,122700.0
209,84,44,2,72500.0
210,84,34,1,48600.0
211,85,64,2,62700.0
212,85,2,3,29300.0
213,85,41,1,131000.0
214,85,34,3,48600.0
215,86,2,3,29300.0
216,87,2,3,29300.0
217,87,34,2,48600.0
218,87,33,1,89100.0
219,87,52,2,106600.0
220,88,66,2,65500.0
221,89,9,3,21700.0
222,89,55,3,61100.0
223,89,58,1,176100.0
224,89,82,3,128600.0
225,90,47,3,113200.0
226,90,78,1,152900.0
227,90,15,3,112300.0
228,90,32,3,173400.0
229,91,73,2,53900.0
230,91,74,3,139100.0
231,91,90,3,165100.0
232,92,36,1,61400.0
233,92,71,2,124400.0
234,92,32,2,173400.0
235,93,89,1,142600.0
236,93,45,1,106500.0
237,93,66,3,65500.0
238,93,34,1,48600.0
239,94,100,1,140500.0
240,94,77,3,77300.0
241,95,16,1,160300.0
242,95,35,3,114900.0
243,95,95,2,37200.0
244,96,81,2,89900.0
245,96,83,3,106300.0
246,97,69,1,60400.0
247,97,49,1,140700.0
248,98,86,3,88400.0
249,98,41,3,131000.0
250,98,11,2,39900.0
251,99,34,1,48600.0
252,99,18,2,60400.0
253,100,33,2,89100.0
254,101,25,2,145800.0
255,101,15,3,112300.0
256,101,6,1,115400.0
257,101,14,1,153800.0
258,102,79,3,157200.0
259,102,50,1,29400.0
260,103,74,2,139100.0
261,103,73,2,53900.0
262,103,19,1,69100.0
263,103,30,2,38500.0
