user_id,category_id
1,41
1,12
2,1
3,5
3,1
3,12
4,1
4,4
4,31
5,2
5,11
6,22
7,3
7,13
7,4
8,2
9,22
10,2
10,41
10,1
11,41
12,31
12,12
12,1
13,11
14,22
14,21
14,3
15,5
15,4
15,3
16,22
16,31
16,13
17,11
18,11
18,31
19,5
19,3
19,1
20,11
20,22
20,5
21,4
21,1
22,21
23,4
23,41
24,3
25,12
25,13
26,3
26,12
26,31
27,4
28,12
28,11
28,21
29,22
29,41
30,21
30,31
31,41
31,1
32,11
32,2
32,31
33,22
33,41
34,12
34,11
35,41
36,31
37,1
38,5
38,13
39,13
39,12
40,2
41,2
41,13
41,41
42,5
42,4
42,11
43,5
43,2
44,3
44,1
44,41
45,21
45,31
46,3
47,4
47,41
47,22
48,1
48,21
49,2
49,4
49,31
50,31
51,4
51,12
52,1
52,31
53,22
53,5
53,3
54,4
54,2
55,3
56,41
56,3
56,4
57,11
58,11
58,2
59,22
60,1
60,4
60,3
61,22
61,1
61,12
62,41
62,31
63,4
63,13
64,41
64,2
65,13
65,21
65,2
66,1
66,3
67,11
68,31
68,2
68,4
69,12
69,1
69,31
70,31
70,5
71,3
72,41
72,5
72,11
73,41
73,22
74,12
74,41
74,31
75,13
75,3
76,31
76,11
77,11
78,22
78,11
79,22
80,41
80,31
80,1
81,2
81,3
82,22
82,2
83,3
84,1
84,5
84,3
85,12
86,13
86,1
87,41
88,1
88,41
89,2
89,13
89,3
90,12
91,2
92,4
92,3
93,3
93,13
94,13
94,41
94,22
95,12
96,12
96,21
96,5
97,4
97,41
98,3
99,31
99,1
99,22
100,4
100,41
100,5
101,5
101,31
101,11
102,13
102,21
103,12
103,31
104,11
104,3
105,13
106,12
107,21
108,2
108,22
109,1
109,2
109,4
110,22
110,12
111,2
111,11
112,21
112,12
112,1
113,5
113,11
113,21
114,2
114,1
114,22
115,12
115,2
115,3
116,41
116,22
117,13
118,3
118,22
119,11
119,41
120,13
120,31
121,31
122,13
122,12
123,31
123,2
123,13
124,31
124,2
125,1
125,4
125,2
126,22
126,31
127,12
127,11
128,13
129,4
129,13
129,21
130,31
130,22
130,12
131,12
131,2
131,5
132,22
133,22
133,31
133,12
134,12
135,1
136,22
136,21
137,3
137,31
138,2
138,5
139,12
139,31
139,4
140,13
141,5
141,31
141,3
142,31
143,2
144,13
144,21
145,31
146,11
146,21
147,13
148,11
148,1
149,1
149,5
149,4
150,1
150,12
151,1
152,2
152,31
152,5
153,41
153,31
154,21
154,4
155,5
156,4
156,41
157,5
157,22
157,1
158,31
158,41
158,1
159,13
160,12
160,2
161,12
161,11
162,12
162,13
163,12
164,5
164,13
164,41
165,12
165,2
166,13
167,3
167,13
168,11
169,31
170,3
170,11
171,13
172,13
172,11
172,31
173,21
173,1
173,22
174,21
175,12
175,4
176,2
177,22
177,13
178,1
179,41
180,5
181,21
181,22
181,41
182,2
183,4
183,31
183,21
184,21
185,13
185,4
185,41
186,12
186,1
187,2
187,3
188,11
188,12
188,4
189,4
190,2
190,41
190,1
191,21
191,31
191,1
192,3
192,11
193,4
193,21
193,5
194,1
195,11
196,2
197,5
197,13
198,5
198,41
199,5
199,4
200,2
200,11
200,5
201,13
202,31
202,2
203,12
203,4
203,21
204,2
205,41
205,5
206,1
207,21
207,11
208,1
209,31
209,2
210,21
211,13
211,12
211,5
212,3
212,12
212,21
213,12
213,3
213,11
214,3
215,22
215,12
215,11
216,3
216,11
217,31
217,41
217,4
218,41
219,22
219,11
219,4
220,3
220,41
220,4
221,3
221,13
221,41
222,31
223,2
223,13
224,41
224,5
225,41
225,11
225,4
226,41
226,3
226,2
227,13
227,1
227,4
228,4
228,22
229,21
229,31
229,1
230,12
230,2
231,41
231,12
232,22
232,21
233,3
233,12
233,22
234,1
235,3
235,13
235,1
236,2
236,21
236,41
237,3
237,13
238,5
239,4
239,41
240,12
241,11
241,13
241,2
242,1
243,41
243,13
244,22
245,1
246,3
246,13
246,1
247,5
248,41
248,13
249,2
249,1
249,41
250,21
250,3
251,13
252,21
253,1
253,5
253,31
254,13
255,5
255,3
255,12
256,11
256,2
257,4
258,2
258,3
259,2
260,4
261,12
261,31
262,21
262,13
263,31
263,2
263,13
264,2
264,5
264,22
265,41
266,41
266,31
266,22
267,13
267,11
267,2
268,1
268,11
269,31
269,21
270,41
270,21
271,21
271,41
272,3
272,31
273,11
273,1
273,5
274,11
274,12
274,21
275,4
276,11
276,1
277,4
277,13
277,21
278,12
279,4
279,22
279,13
280,22
281,31
281,3
282,21
282,13
282,31
283,1
283,41
284,4
284,2
284,41
285,4
285,3
285,2
286,5
286,4
287,1
287,41
287,4
288,31
289,2
290,11
291,12
292,1
292,11
292,31
293,5
293,13
293,21
294,31
294,4
294,41
295,11
295,41
296,4
296,12
296,22
297,11
298,4
298,3
298,22
299,1
299,31
300,41
300,11
301,1
301,22
302,31
302,13
303,41
303,5
303,4
304,13
304,5
305,31
306,22
307,3
307,21
307,41
308,21
309,3
309,11
310,1
310,11
311,4
311,11
311,13
312,41
312,22
312,21
313,22
313,5
314,22
314,21
314,31
315,2
315,21
316,12
316,4
317,2
317,1
317,13
318,13
318,31
318,22
319,12
320,2
320,4
320,5
321,31
321,41
321,3
322,12
323,21
323,2
324,41
324,3
324,22
325,4
325,3
326,41
326,11
327,22
327,1
327,5
328,1
329,4
329,12
329,31
330,2
330,41
330,31
331,13
