user_id,category_id
1,1
1,4
2,13
2,22
3,2
3,22
4,1
4,21
4,4
5,12
5,1
6,21
7,12
8,2
9,12
10,1
10,13
11,11
11,13
11,4
12,22
13,4
14,21
15,21
16,12
17,4
17,11
18,2
18,22
18,13
19,22
20,11
21,21
22,13
22,4
23,11
23,3
23,13
24,21
24,22
24,12
25,12
25,11
26,12
27,22
27,12
27,2
28,13
28,11
29,12
29,4
30,12
31,1
32,4
33,13
33,21
34,21
35,21
36,12
37,22
38,4
38,21
38,13
39,13
39,22
39,3
40,22
41,12
41,13
42,12
42,2
42,13
43,3
43,2
44,11
44,12
44,2
45,3
46,13
47,1
47,21
47,12
48,12
48,2
48,21
49,2
50,3
51,4
51,21
51,12
52,4
52,21
53,1
53,21
53,11
54,21
54,2
54,22
55,21
55,13
55,22
56,3
57,4
57,1
57,13
58,3
58,22
58,13
59,22
60,22
60,2
60,21
61,13
61,3
62,12
62,2
63,22
64,11
65,21
66,13
67,11
67,13
67,12
68,11
68,13
69,3
69,13
69,2
70,2
70,12
71,13
72,22
72,11
73,3
73,2
74,12
75,2
75,13
76,12
76,1
76,21
77,11
77,1
77,21
78,12
78,3
79,22
79,13
79,4
80,1
80,21
80,13
81,12
82,21
82,11
83,12
83,1
84,4
85,13
85,21
86,4
87,22
87,11
88,21
89,13
90,12
91,3
91,2
91,22
92,12
92,22
92,1
93,22
93,21
94,1
95,4
96,11
96,2
97,11
97,12
97,3
98,22
98,3
99,4
100,1
100,3
101,21
101,11
101,3
102,11
102,3
102,4
103,1
103,11
104,21
104,12
105,21
105,12
106,1
106,12
106,2
107,4
107,21
108,3
108,11
108,2
109,1
109,3
109,2
110,12
110,21
111,1
111,21
112,12
113,11
113,22
114,1
114,13
115,13
115,21
115,11
116,2
116,22
117,22
117,1
117,4
118,12
119,3
120,1
120,13
120,22
121,12
122,13
123,21
123,1
124,1
124,4
125,11
125,1
125,12
126,4
127,22
127,11
128,11
128,21
129,2
130,3
130,21
131,13
132,22
132,13
133,2
133,4
133,13
134,2
134,12
135,22
136,13
136,21
137,12
138,13
138,21
138,1
139,12
139,2
139,1
140,1
140,21
140,22
141,12
141,2
142,12
142,3
142,1
143,11
143,21
144,3
144,22
144,12
145,21
145,12
146,13
146,22
147,4
147,21
148,22
148,12
149,4
149,12
150,21
150,2
150,13
151,3
151,4
151,21
152,4
152,12
152,1
153,22
154,2
154,22
155,22
156,22
157,21
157,3
157,1
158,11
158,3
159,4
160,2
160,22
160,1
161,1
161,22
162,3
163,3
164,21
165,1
165,4
166,3
167,1
167,22
167,11
168,4
168,1
169,3
169,11
170,2
171,3
172,21
173,13
173,1
174,4
174,13
174,21
175,22
175,4
175,21
176,12
177,3
178,2
178,1
179,1
179,4
180,1
180,4
181,4
181,3
181,21
182,12
183,1
183,3
183,21
184,12
184,22
185,4
186,3
187,4
187,21
187,11
188,2
188,12
188,13
189,4
190,3
190,22
190,2
191,2
191,1
192,1
192,4
193,4
194,3
195,1
195,13
195,21
196,12
197,11
198,11
198,21
199,12
200,1
200,2
201,21
201,2
202,22
202,1
203,2
203,13
203,22
204,22
204,2
204,1
205,13
206,21
206,13
206,12
207,12
207,3
207,22
208,21
208,3
209,4
209,11
209,2
210,11
210,21
210,1
211,1
212,21
213,3
214,11
214,4
214,21
215,21
215,2
216,11
216,4
217,21
217,3
217,2
218,21
218,2
218,1
219,13
220,2
221,21
221,13
221,4
222,3
223,21
223,11
223,12
224,11
224,3
225,1
225,22
226,13
226,2
227,21
227,12
228,1
228,13
228,12
229,12
229,4
230,22
230,2
231,12
232,4
232,3
232,2
233,11
233,3
234,21
234,3
235,1
236,11
236,1
236,13
237,3
238,11
239,11
239,21
240,21
240,22
240,11
241,21
242,12
243,4
243,1
244,2
244,13
245,11
245,2
246,3
246,4
246,22
247,4
247,2
248,22
249,13
250,1
250,21
