cart_item_id,user_id,product_id,quantity,added_at
1,1,678,1,2025-05-03 03:32:40
2,1,650,1,2024-11-04 17:30:34
3,1,565,1,2025-01-15 11:59:55
4,1,479,1,2025-01-12 00:45:20
5,2,918,1,2025-08-01 13:54:42
6,2,721,2,2025-07-27 11:55:27
7,2,540,1,2025-07-31 23:43:02
8,2,864,2,2025-07-28 02:55:11
9,2,532,1,2025-05-01 05:05:34
10,2,376,1,2025-07-19 04:57:40
11,3,957,1,2025-06-19 09:47:09
12,3,815,2,2025-06-15 13:03:52
13,3,200,2,2025-06-23 07:17:26
14,3,553,1,2025-05-26 08:46:06
15,4,333,2,2025-06-04 12:53:07
16,4,82,2,2025-05-12 08:22:06
17,4,954,2,2025-05-26 18:48:17
18,5,937,2,2025-03-31 10:37:35
19,5,201,2,2025-04-27 12:09:25
20,5,94,1,2025-03-08 04:22:26
21,5,173,1,2025-04-07 12:28:54
22,5,172,2,2025-05-31 19:02:40
23,5,806,2,2025-07-06 11:28:21
24,6,42,1,2025-07-15 10:21:56
25,6,649,2,2025-08-03 02:19:34
26,6,340,2,2025-08-05 05:46:36
27,6,681,2,2025-08-03 16:15:34
28,6,918,1,2025-08-03 01:00:29
29,7,59,2,2025-08-08 02:45:38
30,7,14,1,2024-12-28 07:06:13
31,7,407,1,2025-05-14 06:15:09
32,7,212,2,2024-08-11 11:58:34
33,7,490,1,2024-07-10 18:46:02
34,7,119,2,2024-07-14 21:00:55
35,8,387,2,2025-08-04 23:52:12
36,8,127,2,2025-03-12 15:52:25
37,8,914,2,2025-04-27 05:26:21
38,8,539,2,2025-04-30 09:32:22
39,8,580,1,2025-05-02 16:29:11
40,8,14,2,2025-04-25 15:37:57
41,8,813,2,2025-03-18 01:04:55
42,8,936,1,2025-04-03 12:31:04
43,8,317,1,2025-05-30 02:41:48
44,8,480,1,2025-03-29 05:49:22
45,8,440,1,2025-07-15 22:04:15
46,8,399,2,2025-03-09 06:26:52
47,9,296,2,2024-12-04 21:29:15
48,9,188,2,2024-11-16 18:51:13
49,9,812,2,2025-06-23 02:37:50
50,9,495,1,2024-08-18 09:16:14
51,9,974,1,2025-01-01 17:52:15
52,9,294,1,2024-10-01 09:49:00
53,10,914,1,2025-06-23 23:20:37
54,10,503,2,2025-06-24 07:48:08
55,10,481,1,2025-07-16 15:17:11
56,10,690,2,2025-05-29 08:11:05
57,10,947,2,2025-04-14 16:59:10
58,10,517,1,2025-05-20 07:49:47
59,11,74,2,2025-03-07 10:56:07
60,12,998,1,2025-04-13 17:01:01
61,12,63,2,2025-06-09 00:49:03
62,13,60,2,2025-07-26 15:39:50
63,13,96,2,2025-06-19 18:27:36
64,13,474,1,2025-06-07 17:01:49
65,13,659,2,2025-07-05 19:59:49
66,14,91,2,2024-04-02 17:50:49
67,14,302,2,2024-05-12 04:04:35
68,14,20,2,2024-06-06 17:04:38
69,14,681,1,2025-05-09 06:47:25
70,14,493,1,2024-02-27 22:11:16
71,14,432,1,2025-02-28 03:53:37
72,14,100,1,2024-05-05 16:19:14
73,14,505,1,2025-06-21 10:37:48
74,14,931,2,2024-08-19 13:41:16
75,15,821,1,2025-03-05 09:10:03
76,15,696,1,2025-02-25 10:09:01
77,15,345,2,2025-07-05 13:10:21
78,15,5,1,2025-07-30 02:14:07
79,15,355,2,2025-04-04 21:46:30
80,15,221,2,2025-03-11 21:25:55
81,15,60,1,2025-06-02 09:10:03
82,15,300,2,2025-06-08 13:12:53
83,15,671,2,2025-07-30 19:13:49
84,15,708,2,2025-07-24 02:45:29
85,15,669,1,2025-05-03 11:11:40
86,16,429,2,2025-02-11 00:26:08
87,16,430,2,2025-01-16 07:42:02
88,16,879,2,2025-07-21 23:41:41
89,16,840,2,2025-06-16 21:04:29
90,16,709,2,2025-05-28 05:36:16
91,17,29,1,2024-11-16 13:05:03
92,17,115,1,2025-06-24 12:38:30
93,17,666,1,2024-08-25 19:50:30
94,17,373,2,2025-02-19 15:16:03
95,17,106,2,2025-05-07 06:25:43
96,17,998,1,2024-08-19 15:54:35
97,18,535,1,2024-11-26 18:14:34
98,18,84,2,2024-11-25 12:57:09
99,18,70,2,2025-02-08 11:54:41
100,18,257,2,2024-12-14 13:40:47
101,18,553,2,2025-04-28 15:17:48
102,18,618,2,2025-03-29 07:13:16
103,18,760,2,2024-12-25 04:50:48
104,18,327,2,2025-07-11 03:04:31
105,18,43,1,2025-02-26 06:09:18
106,18,383,2,2024-11-01 22:02:03
107,18,323,1,2024-10-17 22:37:55
108,19,414,2,2024-02-28 16:24:40
109,19,753,1,2025-06-18 21:39:22
110,19,365,1,2025-01-21 16:43:31
111,19,481,2,2024-09-03 21:58:56
112,19,921,1,2024-09-09 04:53:27
113,19,742,1,2025-02-10 01:48:02
114,19,855,2,2025-07-17 07:26:40
115,19,797,2,2025-06-28 09:59:08
116,19,227,2,2024-06-15 07:02:57
117,19,123,1,2024-07-10 23:39:09
118,19,392,2,2024-07-03 11:43:21
119,19,80,1,2024-08-03 09:23:56
120,20,533,2,2025-06-21 11:03:31
121,20,473,2,2025-05-09 20:45:24
122,20,274,1,2025-06-11 13:57:56
123,21,338,2,2025-05-24 17:14:12
124,21,446,2,2025-07-05 08:22:16
125,21,758,2,2025-06-21 22:41:39
126,21,84,1,2025-06-05 11:55:03
127,21,681,1,2025-05-03 16:48:42
128,21,940,2,2025-07-18 16:51:15
129,21,173,1,2025-05-17 03:55:56
130,21,720,2,2025-05-14 19:04:24
131,21,251,1,2025-05-06 01:09:57
132,21,781,2,2025-07-06 06:20:02
133,22,837,1,2025-05-02 23:11:37
134,22,286,2,2024-04-18 12:36:13
135,22,236,1,2025-06-25 01:26:24
136,22,119,1,2025-07-03 03:04:43
137,23,455,1,2025-08-08 23:32:46
138,23,651,2,2025-08-10 04:01:16
139,24,952,2,2024-05-25 17:43:27
140,24,263,1,2024-08-07 19:32:56
141,24,308,2,2025-06-14 20:57:34
142,24,714,1,2024-10-27 18:49:39
143,24,290,2,2025-05-01 17:51:50
144,24,39,2,2025-02-13 19:58:53
145,24,736,2,2025-05-22 09:55:06
146,24,981,1,2024-05-07 07:40:55
147,25,284,1,2025-07-14 07:17:20
148,26,951,1,2024-07-30 06:54:32
149,26,987,2,2025-03-02 04:10:55
150,26,940,1,2025-05-18 01:26:20
151,26,557,2,2025-06-03 03:37:50
152,26,708,2,2024-10-09 17:38:31
